state_name,state_code,county_name,population,total_votes,turnout,college_educated,_merge
Florida,FL,Levy County,46545.0,24377.0,0.5237297239230851,5379,both
Florida,FL,Liberty County,7706.0,3490.0,0.452893848948871,921,both
Florida,FL,Madison County,18519.0,9156.0,0.49441114531022196,1705,both
Florida,FL,Manatee County,441095.0,228856.0,0.5188360783958105,111761,both
Florida,FL,Marion County,409959.0,214101.0,0.5222497859542051,65949,both
Florida,FL,Martin County,163315.0,98291.0,0.6018491871536601,46660,both
Florida,FL,Miami-Dade County,2686867.0,1094093.0,0.4072002819640868,665026,both
Florida,FL,Monroe County,80614.0,44327.0,0.5498672687126306,24878,both
Florida,FL,Nassau County,101501.0,65621.0,0.646505945754229,25337,both
Florida,FL,Okaloosa County,218464.0,113634.0,0.5201497729603046,52773,both
Florida,FL,Okeechobee County,41427.0,16058.0,0.38762159943997876,4795,both
Florida,FL,Orange County,1471416.0,607191.0,0.4126576032882611,395978,both
