state_name,state_code,county_name,college_educated
Indiana,IN,White County,3157
Indiana,IN,Whitley County,5699
Iowa,IA,Adair County,1083
Iowa,IA,Adams County,649
Iowa,IA,Allamakee County,1990
Iowa,IA,Appanoose County,1756
Iowa,IA,Audubon County,841
Iowa,IA,Benton County,4555
Iowa,IA,Black Hawk County,26963
Iowa,IA,Boone County,5664
Iowa,IA,Bremer County,6092
Iowa,IA,Buchanan County,3219
Iowa,IA,Buena Vista County,2998
Iowa,IA,Butler County,2132
Iowa,IA,Calhoun County,1554
Iowa,IA,Carroll County,3403
Iowa,IA,Cass County,2023
Iowa,IA,Cedar County,2991
Iowa,IA,Cerro Gordo County,7642
Iowa,IA,Cherokee County,1871
Iowa,IA,Chickasaw County,1586
Iowa,IA,Clarke County,1100
Iowa,IA,Clay County,2998
Iowa,IA,Clayton County,1970
Iowa,IA,Clinton County,7271
Iowa,IA,Crawford County,2002
